car_name,variant_name,image,price
Tata Nano Genx,Xt,https://cdni.autocarindia.com/ExtraImages/20190130064236_Tata-Nano.jpg,"Rs. 2,92,667"
Tata Nano Genx,Xe,https://img.indianautosblog.com/2018/02/Datsun-redi-GO-1.0-AMT-front-angle-view.jpg,"Rs. 2,79,650"
Tata Nano Genx,Emax Xm,https://static.india.com/wp-content/uploads/2022/08/AltoK10.jpg?impolicy=Medium_Resize&w=1200&h=800,"Rs. 3,51,832"
Tata Nano Genx,Xta,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/Galleries/20130715084527_web1.jpg,"Rs. 3,33,419"
Tata Nano Genx,Xm,https://www.marutisuzuki.com/tour-h2-brochure/images/cover.jpg,"Rs. 3,62,000"
Tata Nano Genx,Xma,https://stimg.cardekho.com/images/carexteriorimages/930x620/Hyundai/Santro/7457/1644827486248/front-left-side-47.jpg,"Rs. 3,90,000"
Datsun Redi-Go,D,https://imgd.aeplcdn.com/642x361/n/cw/ec/171229/tata-tiago-left-front-three-quarter17.jpeg?isig=0&wm=1&q=75,"Rs. 4,37,065"
Datsun Redi-Go,T,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlIUG8W5eFB4CHoPsTXMnUo57z7zFfccKDRQ&s,"Rs. 3,53,290"
Datsun Redi-Go,A,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20200218111513_Maruti-Ignis-facelift.jpg&w=700&c=1,"Rs. 2,83,290"
Datsun Redi-Go,S,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/2021_Renault_Triber_RXZ_%28Indonesia%29_front_view.jpg/1200px-2021_Renault_Triber_RXZ_%28Indonesia%29_front_view.jpg,"Rs. 3,83,290"
Datsun Redi-Go,1.0 S,https://imgd.aeplcdn.com/600x337/cw/ec/25016/Toyota-Etios-Liva-facelift-80450.jpg?wm=1&q=75,"Rs. 4,13,290"
Datsun Redi-Go,1.0 S Amt,https://images.carandbike.com/car-images/large/nissan/micra-active/nissan-micra-active.jpg?v=8,"Rs. 4,33,290"
Datsun Redi-Go,Rxe 0.8,https://imgd.aeplcdn.com/664x374/ec/bb/D5/17402/img/ol/Tata-Bolt-Right-Front-Three-Quarter-47397.jpg?v=201711021421&q=80,"Rs. 4,54,490"
Datsun Redi-Go,Std 0.8,"https://img.etimg.com/thumb/width-1600,height-900,imgsize-108232,resizemode-75,msid-31890811/hyundai-xcent-sedan-launched-at-a-starting-price-of-rs-4-66-lakh.jpg","Rs. 4,63,290"
Datsun Redi-Go,Rxl 0.8,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20230210032948_WhatsApp_Image_2023_02_10_at_1.png&w=700&c=1,"Rs. 4,84,490"
Datsun Redi-Go,Rxt 0.8,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202003/Hyundai_Elite_i20_Petrol_BS6_I.png?size=690:388,"Rs. 4,40,990"
Datsun Redi-Go,Rxt 1.0,https://imgd-ct.aeplcdn.com/664x415/n/cw/ec/139133/aura-exterior-left-front-three-quarter.jpeg?isig=0&q=80,"Rs. 4,70,990"
