car_name,model,price,drive_type,fuel_tank_capacity,fuel_type,mileage,torque,seating_capacity,boot_space,instrument_cluster,elec_mileage,body_type,cng_mileage,power,image
Tata Nano Genx,Xt,"Rs. 2,92,667",RWD (Rear Wheel Drive),24 litres,Petrol,23.6 km/litre,51Nm@4000rpm,4,110 litres,Analog + Digital,,Hatchback,,38PS@5500rpm,https://lh3.googleusercontent.com/pw/AP1GczOTDFPV7E2Rmhfh1PWRJXwnBIcNXaBDFTay38nzKbt4VWowttj_sxjSGgks5V2n_1BMBR-x-iN9eIZF22QfG_tWsnbel3U4D8dxq-R3jv9dcfdUZ7I=w2400
Datsun Redi-Go,D,"Rs. 2,79,650",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,222 litres,Analog + Digital,,Hatchback,,54PS@5678rpm,https://images.carandbike.com/car-images/colors/datsun/redi-go/datsun-redi-go-fire-red.png?v=1590655868
Maruti Suzuki Alto K10,Lxi,"Rs. 3,77,588",FWD (Front Wheel Drive),35 litres,Petrol,24.07 km/litre,90Nm@3500rpm,5,177 litres,Analog + Digital,,Hatchback,,68PS@6000rpm,https://www.varunmaruti.com/uploads/products/colors/altok-10-metallic-speedy-blue.png
Datsun Go,D,"Rs. 3,74,990",FWD (Front Wheel Drive),35 litres,Petrol,20.1 km/litre,104Nm@4000rpm,5,265 litres,Analog + Digital,,Hatchback,,68PS@5000rpm,https://lh3.googleusercontent.com/pw/AP1GczN-XnEk2RqV0g7LMfehCcrUeyeRFrGzF3rup441xGrHkvxeU-whCle26Mg672slOP6M4fFSDrCTBBSIOnbA6cJXK6DuBVLmS1FciI5qXI6tM7ooLjI=w2400
Maruti Suzuki Celerio Tour,H2,"Rs. 4,22,444",FWD (Front Wheel Drive),35 litres,Petrol,23.1 km/litre,90Nm@3500rpm,5,235 litres,Analog + Digital,,Hatchback,,68PS@6000rpm,https://parkplus-bkt-img.parkplus.io/production/vehicle/public/frontleftside47jpgimage_20230808182720803082jpgfdc5d7243c1911eeab78acde48001122_20230816151803012270.jpg
Hyundai Santro,Era Mt,"Rs. 4,29,990",FWD (Front Wheel Drive),35 litres,Petrol,20.3 km/litre,99.04nm@4500RPM,5,,Analog,,Hatchback,,69PS@5500rpm,https://www.nicepng.com/png/full/828-8285958_the-all-new-santro-has-been-launched-in.png
Tata Tiago,Revotron Xe,"Rs. 4,60,000",FWD (Front Wheel Drive),35 litres,Petrol,23 km/litre,114NM@3300rpm,5,,Analog + Digital,,Hatchback,,86PS@6000rpm,https://sgamotors.in/wp-content/uploads/2023/12/ArizonaBlue-0.png
Maruti Suzuki Celerio X,Vxi (O),"Rs. 4,81,074",FWD (Front Wheel Drive),35 litres,Petrol,23.1 km/litre,90Nm@3500rpm,5,235 litres,Analog + Digital,,Hatchback,,68PS@6000rpm,https://parkplus-bkt-img.parkplus.io/production/vehicle/public/frontleftside47jpgimage_20230808182720803082jpgfdc5d7243c1911eeab78acde48001122_20230816151803012270.jpg
Maruti Suzuki Ignis,Alpha 1.2 Amt,"Rs. 7,13,898",FWD (Front Wheel Drive),32 litres,Petrol,20.89 km/litre,113Nm@4200RPM,5,260 litres,Analog,,Hatchback,,83PS@6000rpm,https://www.pngkey.com/png/full/250-2500093_maruti-suzuki-ignis-new-suzuki-ignis.png
Renault Triber,Rxe,"Rs. 4,95,000",FWD (Front Wheel Drive),40 litres,Petrol,20.5 km/litre,96Nm@3500rpm,7,625 litres,Analog + Digital,,MUV,,72PS@62050rpm,https://ackodrive-assets.s3.amazonaws.com/media/test_2mvqlYn.png
Toyota Etios Liva,G,"Rs. 5,20,300",FWD (Front Wheel Drive),45 litres,Petrol,18.16 km/litre,104Nm@3100rpm,5,251 litres,Analog + Digital,,Hatchback,,80PS@5600rpm,https://destinationtourcabs.com/wp-content/uploads/2020/11/20141014122143_etiosold-removebg-preview.png
