name,Price,image
Tata Nano Genx,292667,https://cdni.autocarindia.com/ExtraImages/20190130064236_Tata-Nano.jpg
Datsun Redi-Go,279650,https://img.indianautosblog.com/2018/02/Datsun-redi-GO-1.0-AMT-front-angle-view.jpg
Maruti Suzuki Alto K10,377588,https://static.india.com/wp-content/uploads/2022/08/AltoK10.jpg?impolicy=Medium_Resize&w=1200&h=800
Datsun Go,374990,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/Galleries/20130715084527_web1.jpg
Maruti Suzuki Celerio Tour,422444,https://www.marutisuzuki.com/tour-h2-brochure/images/cover.jpg
Hyundai Santro,429990,https://stimg.cardekho.com/images/carexteriorimages/930x620/Hyundai/Santro/7457/1644827486248/front-left-side-47.jpg
Tata Tiago,460000,https://imgd.aeplcdn.com/642x361/n/cw/ec/171229/tata-tiago-left-front-three-quarter17.jpeg?isig=0&wm=1&q=75
Maruti Suzuki Celerio X,481074,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlIUG8W5eFB4CHoPsTXMnUo57z7zFfccKDRQ&s
Maruti Suzuki Ignis,713898,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20200218111513_Maruti-Ignis-facelift.jpg&w=700&c=1
Renault Triber,495000,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/2021_Renault_Triber_RXZ_%28Indonesia%29_front_view.jpg/1200px-2021_Renault_Triber_RXZ_%28Indonesia%29_front_view.jpg
Toyota Etios Liva,520300,https://imgd.aeplcdn.com/600x337/cw/ec/25016/Toyota-Etios-Liva-facelift-80450.jpg?wm=1&q=75
Nissan Micra Active,525021,https://images.carandbike.com/car-images/large/nissan/micra-active/nissan-micra-active.jpg?v=8
Tata Bolt,787980,https://imgd.aeplcdn.com/664x374/ec/bb/D5/17402/img/ol/Tata-Bolt-Right-Front-Three-Quarter-47397.jpg?v=201711021421&q=80
Hyundai Xcent Prime,556130,"https://img.etimg.com/thumb/width-1600,height-900,imgsize-108232,resizemode-75,msid-31890811/hyundai-xcent-sedan-launched-at-a-starting-price-of-rs-4-66-lakh.jpg"
Maruti Suzuki Dzire Tour,653523,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20230210032948_WhatsApp_Image_2023_02_10_at_1.png&w=700&c=1
Hyundai Elite I20,559693,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202003/Hyundai_Elite_i20_Petrol_BS6_I.png?size=690:388
Hyundai Aura,579900,https://imgd-ct.aeplcdn.com/664x415/n/cw/ec/139133/aura-exterior-left-front-three-quarter.jpeg?isig=0&q=80
Volkswagen Polo,582000,https://www.livemint.com/lm-img/img/2024/03/23/600x338/2-0-576043766-Volkswagen-Polo-GTI-0_1680268918249_1711167306420.JPG
Maruti Suzuki Dzire,582613,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Swift-Dzire/10243/1686044076724/front-left-side-47.jpg
Ford Freestyle,676400,https://www.v3cars.com/media/model-imgs/1625903172-Ford-Freestyle.jpg
Volkswagen Ameo,711500,"https://img.etb2bimg.com/imgv2/width-368,height-311,resize_mode-1/retail_files/ameo-1504178657-prod-var.jpg"
