car_name,model,price,drive_type,fuel_tank_capacity,fuel_type,mileage,torque,seating_capacity,boot_space,instrument_cluster,elec_mileage,body_type,cng_mileage,power,ojas
Tata Nano Genx,Xt,"Rs. 2,92,667",RWD (Rear Wheel Drive),24 litres,Petrol,23.6 km/litre,51Nm@4000rpm,4,110 litres,Analog + Digital,,Hatchback,,38PS@5500rpm,https://cdni.autocarindia.com/ExtraImages/20190130064236_Tata-Nano.jpg
Datsun Redi-Go,D,"Rs. 2,79,650",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,222 litres,Analog + Digital,,Hatchback,,54PS@5678rpm,https://img.indianautosblog.com/2018/02/Datsun-redi-GO-1.0-AMT-front-angle-view.jpg
,T,"Rs. 3,51,832",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,222 litres,Analog + Digital,,Hatchback,,54PS@5678rpm,https://static.india.com/wp-content/uploads/2022/08/AltoK10.jpg?impolicy=Medium_Resize&w=1200&h=800
,A,"Rs. 3,33,419",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,222 litres,Analog + Digital,,Hatchback,,54PS@5678rpm,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/Galleries/20130715084527_web1.jpg
,S,"Rs. 3,62,000",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,222 litres,Analog + Digital,,Hatchback,,54PS@5678rpm,https://www.marutisuzuki.com/tour-h2-brochure/images/cover.jpg
,1.0 S,"Rs. 3,90,000",FWD (Front Wheel Drive),28 litres,Petrol,22.5 km/litre,91Nm@4250RPM,5,222 litres,Analog + Digital,,Hatchback,,68PS@5500rpm,https://stimg.cardekho.com/images/carexteriorimages/930x620/Hyundai/Santro/7457/1644827486248/front-left-side-47.jpg
,1.0 S Amt,"Rs. 4,37,065",FWD (Front Wheel Drive),28 litres,Petrol,23 km/litre,91Nm@4250RPM,5,222 litres,Analog + Digital,,Hatchback,,68PS@5500rpm,https://imgd.aeplcdn.com/642x361/n/cw/ec/171229/tata-tiago-left-front-three-quarter17.jpeg?isig=0&wm=1&q=75
,Rxe 0.8,"Rs. 3,53,290",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,300 litres,Digital,,Hatchback,,54PS@5678rpm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlIUG8W5eFB4CHoPsTXMnUo57z7zFfccKDRQ&s
,Std 0.8,"Rs. 2,83,290",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,300 litres,Digital,,Hatchback,,54PS@5678rpm,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20200218111513_Maruti-Ignis-facelift.jpg&w=700&c=1
,Rxl 0.8,"Rs. 3,83,290",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,300 litres,Digital,,Hatchback,,54PS@5678rpm,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/2021_Renault_Triber_RXZ_%28Indonesia%29_front_view.jpg/1200px-2021_Renault_Triber_RXZ_%28Indonesia%29_front_view.jpg
,Rxt 0.8,"Rs. 4,13,290",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,300 litres,Digital,,Hatchback,,54PS@5678rpm,https://imgd.aeplcdn.com/600x337/cw/ec/25016/Toyota-Etios-Liva-facelift-80450.jpg?wm=1&q=75
,Rxt 1.0,"Rs. 4,33,290",FWD (Front Wheel Drive),28 litres,Petrol,23.01 km/litre,91Nm@4250RPM,5,300 litres,Digital,,Hatchback,,68PS@5500rpm,https://images.carandbike.com/car-images/large/nissan/micra-active/nissan-micra-active.jpg?v=8
